x, y, value
348.067, 146.134, 1
327.45, 189.826, 1
283.472, 177.45, 1
334.694, 144.202, 1
454.625, 132.433, 1
520.542, 163.098, 1
390.833, 152.541, 1
276.717, 162.141, 1
346.898, 183.37, 1
235.919, 217.855, 1
401.515, 161.594, 1
295.701, 194.463, 1
112.253, 159.188, 1
272.183, 176.836, 1
443.24, 173.975, 1
427.614, 168.59, 1
110.152, 214.418, 1
6.13208, 187.107, 1
521.081, 175.698, 1
8.38528, 214.507, 1
60.6632, 202.647, 1
442.092, 169.269, 1
234.593, 199.561, 1
110.149, 214.423, 1
365.576, 186.942, 1
390.778, 171.491, 1
200.488, 185.954, 1
284.48, 145.046, 1
101.623, 195.896, 1
94.6077, 161.287, 1
-6.08344, 114.381, 1
428.178, 159.638, 1
8.40939, 214.5, 1
64.1519, 181.608, 1
415.477, 165.247, 1
112.246, 159.212, 1
167.613, 185.114, 1
460.85, 164.307, 1
489.653, 165.205, 1
440.802, 132.027, 1
202.683, 201.906, 1
40.6108, 184.083, 1
138.429, 183.998, 1
519.01, 145.286, 1
404.585, 182.748, 1
90.5955, 182.48, 1
41.4241, 208.721, 1
403.165, 174.033, 1
111.773, 194.149, 1
471.619, 157.223, 1
485.421, 138.417, 1
241.96, 184.502, 1
467.652, 137.814, 1
418.656, 175.322, 1
134.304, 145.585, 1
160.711, 181.156, 1
196.866, 171.905, 1
603.659, 262.91, 0
56.3833, 170.792, 1
357.548, 186.815, 1
13.8471, 173.136, 1
134.591, 168.334, 1
368.599, 159.78, 1
403.826, 129.45, 1
121.212, 145.742, 1
-6.07767, 114.391, 1
368.585, 159.762, 1
367.331, 147.318, 1
388.674, 184.851, 1
32.908, 197.345, 1
468.53, 138.154, 1
487.949, 165.042, 1
302.818, 156.548, 1
357.136, 130.441, 1
346.896, 183.371, 1
506.725, 140.138, 1
90.6109, 182.476, 1
112.504, 180.319, 1
374.137, 127.163, 1
424.826, 131.183, 1
41.4219, 208.732, 1
14.7833, 197.466, 1
240.887, 168.046, 1
70.7785, 132.388, 1
334.697, 144.199, 1
160.763, 181.099, 1
12.6765, 157.009, 1
61.2713, 147.044, 1
295.699, 194.461, 1
143.93, 215.241, 1
266.4, 219.017, 1
-14.1241, 177.202, 1
573.227, 258.695, 0
189.223, 202.109, 1
53.7352, 160.385, 1
-1.26267, 176.423, 1
341.399, 90.4034, 1
457.385, 150.514, 1
45.779, 163.474, 1
323.511, 143.922, 1
306.883, 143.645, 1
455.365, 134.711, 1
295.062, 143.568, 1
380.091, 175.826, 1
444.027, 151.363, 1
595.203, 268.968, 0
409.236, 158.949, 1
8.38363, 214.51, 1
63.9386, 215.773, 1
112.249, 159.203, 1
227.835, 184.25, 1
494.78, 154.444, 1
101.528, 188.036, 1
146.499, 194.504, 1
460.871, 164.293, 1
249.567, 175.82, 1
143.93, 215.238, 1
-9.69487, 209.724, 1
467.655, 137.816, 1
41.5063, 152.188, 1
122.324, 199.032, 1
183.18, 216.377, 1
324.925, 167.447, 1
487.952, 165.047, 1
275.782, 123.993, 1
615.799, 287.913, 0
190.527, 181.027, 1
430.341, 178.316, 1
176.132, 168.843, 1
70.782, 132.378, 1
390.733, 152.545, 1
29.9582, 186.298, 1
137.251, 203.922, 1
493.367, 223.344, 1
439.491, 69.5821, 1
389.82, 132.085, 1
-6.04538, 114.466, 1
265.543, 159.078, 1
28.8129, 173.657, 1
-10.9368, 198.159, 1
479.053, 149.727, 1
138.383, 183.983, 1
377.099, 143.786, 1
25.5929, 215.56, 1
429.102, 59.1074, 1
209.067, 167.978, 1
204.168, 81.3418, 1
421.884, 146.066, 1
451.577, 65.1307, 1
224.869, 150.99, 1
272.056, 150.374, 1
137.898, 157.034, 1
505.069, 223.555, 1
48.8813, 109.731, 1
329.082, 220.462, 1
356.181, 165.541, 1
585.652, 256.428, 0
474.608, 69.0965, 1
390.389, 77.632, 1
266.4, 219.018, 1
563.037, 264.438, 0
241.927, 184.505, 1
160.489, 215.974, 1
500.633, 171.96, 1
46.4445, 101.54, 1
208.092, 153.399, 1
88.3676, 136.218, 1
457.564, 176.501, 1
345.351, 91.1457, 1
552.8, 261.467, 0
367.21, 171.15, 1
212.547, 182.027, 1
164.481, 197.52, 1
160.393, 137.086, 1
208.864, 207.032, 1
93.248, 214.731, 1
182.221, 147.252, 1
110.151, 214.425, 1
226.499, 141.573, 1
419.917, 221.916, 1
43.2876, 128.558, 1
368.699, 221.275, 1
143.93, 215.243, 1
334.7, 144.198, 1
426.509, 154.248, 1
550.149, 265.79, 0
452.526, 77.7772, 1
550.95, 266.57, 0
219.224, 166.824, 1
182.193, 147.245, 1
510.509, 168.881, 1
219.926, 81.1224, 1
226.513, 141.57, 1
402.459, 143.962, 1
550.038, 267.136, 0
319.43, 175.504, 1
388.712, 200.539, 1
557.961, 272.59, 0
456.979, 79.6422, 1
276.058, 127.2, 1
434.103, 222.45, 1
327.018, 154.94, 1
124.31, 176.126, 1
182.203, 147.26, 1
547.689, 265.969, 0
539.542, 271.323, 0
464.552, 222.744, 1
540.322, 224.013, 1
398.336, 221.846, 1
308.78, 172.383, 1
150.059, 150.111, 1
-13.3908, 187.819, 0
609.103, 264.282, 0
407.397, 83.0669, 1
369.844, 78.0279, 1
61.2582, 147.193, 1
251.221, 127.577, 1
244.912, 151.682, 1
608.754, 261.314, 0
215.357, 230.854, 1
537.829, 171.778, 1
345.363, 168.695, 1
336.354, 174.871, 1
610.952, 286.598, 0
449.953, 223.11, 1
545.419, 263.401, 0
13.4862, 138.486, 1
31.2319, 139.477, 1
611.889, 270.643, 0
519.302, 255.454, 0
477.693, 271.482, 0
79.1722, 175.178, 1
287.38, 219.531, 0
524.917, 269.37, 0
3.67347, 130.467, 1
420.131, 221.918, 1
22.5594, 151.039, 1
576.792, 261.826, 0
550.858, 268.87, 0
349.222, 220.993, 1
66.8796, 193.221, 1
595.229, 269.242, 0
397.033, 221.364, 1
244.878, 151.686, 1
505.926, 151.019, 1
566.711, 263.019, 0
182.194, 147.248, 0
555.913, 273.715, 0
284.483, 145.041, 1
218.343, 218.221, 1
546.566, 268.632, 0
458.354, 132.225, 0
110.87, 214.746, 0
378.452, 163.565, 1
-6.58979, 114.928, 0
85.5159, 196.622, 1
530.234, 157.774, 0
548.552, 279.563, 0
297.553, 193.532, 0
560.898, 269.795, 1
628.943, 298.269, 0
308.138, 183.846, 0
2.44847, 201.265, 0
533.403, 144.877, 0
175.31, 204.306, 0
529.845, 266.737, 0
429.032, 263.889, 0
479.105, 265.309, 0
61.8595, 146.103, 0
287.567, 163.991, 0
428.894, 263.869, 0
614.425, 286.482, 0
458.258, 131.354, 1
177.682, 185.35, 1
529.956, 157.889, 1
163.482, 180.668, 1
600.831, 283.224, 0
334.076, 144.594, 1
296.66, 193.894, 1
544.233, 281.156, 1
539.099, 286.928, 0
89.6812, 183.11, 1
122.098, 168.69, 0
619.269, 293.61, 0
74.6132, 122.504, 1
592.767, 292.299, 0
546.119, 288.832, 0
540.425, 88.7771, 1
459.86, 129.226, 1
539.092, 133.859, 1
541.702, 155.17, 1
543.584, 109.351, 1
544.373, 88.7779, 1
561.389, 172.055, 1
539.092, 133.859, 1
479.666, 165.729, 1
92.6129, 169.132, 0
496.474, 289.749, 0
496.392, 292.866, 0
543.555, 95.4431, 1
543.265, 293.686, 0
539.967, 289.05, 0
539.084, 287.31, 0
369.316, 255.143, 0
519.39, 289.845, 0
545.965, 145.522, 0
103.227, 169.25, 0
463.342, 291.255, 0
477.276, 292.425, 0
540.984, 285.62, 0
2.76952, 161.026, 1
478.902, 287.008, 0
539.115, 287.198, 0
540.313, 283.538, 0
539.801, 289.479, 0
477.723, 294.918, 0
618.841, 313.542, 0
330.805, 292.096, 0
539.187, 286.76, 0
439.692, 69.3156, 1
583.924, 117.052, 1
541.121, 135.402, 1
539.966, 88.7733, 1
539.973, 88.7735, 1
589.668, 148.357, 0
583.934, 117.052, 1
588.763, 163.094, 1
587.239, 123.372, 1
587.196, 123.397, 1
589.662, 148.352, 1
577.061, 153.014, 1
552.669, 301.331, 0
575.623, 169.822, 1
625.204, 302.114, 0
564.645, 320.486, 0
574.716, 125.581, 1
553.016, 298.758, 1
359.542, 312.518, 0
475.638, 280.687, 0
604.762, 301.803, 0
588.163, 177.542, 1
583.506, 279.474, 0
558.861, 156.262, 1
608.746, 144.431, 1
55.7267, 212.558, 1
610.343, 157.353, 1
599.806, 313.235, 0
553.201, 298.98, 1
497.674, 136.957, 1
343.284, 286.646, 0
285.207, 266.827, 0
545.596, 292.323, 0
586.119, 114.156, 1
541.883, 87.3214, 1
462.078, 121.558, 1
543.167, 88.5314, 1
586.121, 114.164, 1
4.35449, 112.047, 1
406.617, 316.551, 1
3.93084, 162.383, 1
260.232, 175.347, 0
627.982, 87.5646, 1
622.036, 166.296, 1
625.243, 148.074, 1
-1.87394, 142.825, 0
556.061, 311.434, 0
458.806, 315.203, 1
484.018, 311.467, 0
371.486, 186.887, 0
572.881, 332.395, 0
459.048, 311.839, 0
461.074, 312.844, 0
402.458, 314.719, 1
486.195, 312.099, 1
-2.57798, 89.092, 1
418.986, 310.294, 1
490.824, 315.044, 0
567.908, 330.842, 0
567.898, 330.85, 0
123.952, 154.749, 1
3.23897, 200.76, 1
412.658, 313.548, 1
